show_id,type,title,director,cast,country,language,date_added,release_year,imdb_rating,imdb_votes,duration,listed_in,description
s0001,TV Show,Stranger Things 1,,,,,13-Mar-2024,2016,,257987,,Documentaries,"A comedies, dramas story featuring memorable characters and unexpected events."
s0002,TV Show,The Crown 2,Peter Morgan,,United States,English,2025-04-14,2016,8.6,92361,25 min,Thrillers,A international movies story featuring memorable characters and unexpected events.
s0003,TV Show,Money Heist 3,Álex Pina,"Actor One, Actor Two, Actor Three",Spain,Spanish,2017-05-20,2017,8.2,245162,30 min,"Sci-Fi, Fantasy",A thrillers story featuring memorable characters and unexpected events.
s0004,TV Show,Dark 4,"Baran bo Odar, Jantje Friese",,Germany,german,2017-04-28,2017,8.7,441098,35 min,Documentaries,A children & family story featuring memorable characters and unexpected events.
s0005,TV Show,Breaking Bad 5,Vince Gilligan,"Actor One, Actor Two, Actor Three",United States, ENGLISH,2023-08-20,2008,9.5,733252,40 min,International Movies,A romantic movies story featuring memorable characters and unexpected events.
s0006,TV Show,Narcos 6,"Carlo Bernard, Chris Brancato","Lead Actor, Lead Actress",Spain,spanish,2020-02-22,2015,8.8,108375,45 min,"Action, Thriller",A international movies story featuring memorable characters and unexpected events.
s0007,TV Show,Wednesday 7,"Alfred Gough, Miles Millar",,United States, ENGLISH,2018-02-10,2022,8.0,278570,50 min,"Drama, International",A children & family story featuring memorable characters and unexpected events.
s0008,TV Show,Bridgerton 8,Chris Van Dusen,"Main Cast, Supporting Cast",United States,English,2023-01-15,2020,7.4,580056,55 min,"Crime, Drama",A thrillers story featuring memorable characters and unexpected events.
s0009,TV Show,The Witcher 9,Lauren Schmidt Hissrich,"Main Cast, Supporting Cast",United States,Eng,2021-01-30,2019,8.0,49250,60 min,Documentaries,"A crime, drama story featuring memorable characters and unexpected events."
s0010,TV Show,Squid Game 10,Hwang Dong-hyuk,,South Korea,korean,2017-12-02,2021,8.0,292676,65 min,Children & Family,A romantic movies story featuring memorable characters and unexpected events.
s0011,TV Show,The Queen's Gambit 11,"Scott Frank, Allan Scott","Actor One, Actor Two, Actor Three",United States, ENGLISH,2018-11-07,2020,8.5,703929,25 min,"Crime, Drama","A action, thriller story featuring memorable characters and unexpected events."
s0012,TV Show,Peaky Blinders 12,Steven Knight,,United States,english ,2023-11-10,2013,8.8,765744,30 min,Documentaries,"A comedies, dramas story featuring memorable characters and unexpected events."
s0013,TV Show,Black Mirror 13,Charlie Brooker,,United States,English ,2022-03-18,2011,8.7,231483,35 min,Romantic Movies,"A drama, international story featuring memorable characters and unexpected events."
s0014,TV Show,The Umbrella Academy 14,Steve Blackman,,United States,English,2019-08-06,2019,7.8,281946,40 min,"Action, Thriller",A documentaries story featuring memorable characters and unexpected events.
s0015,TV Show,Lupin 15,George Kay,,France, FRENCH,2023-05-22,2021,7.5,416050,45 min,Children & Family,"A comedies, dramas story featuring memorable characters and unexpected events."
s0016,TV Show,Sacred Games 16,"Vikramaditya Motwane, Anurag Kashyap",,India,hindi,2019-12-30,2018,8.5,566358,50 min,"Crime, Drama",A thrillers story featuring memorable characters and unexpected events.
s0017,TV Show,Delhi Crime 17,Richie Mehta,"Lead Actor, Lead Actress",India,Hind,2021-10-30,2019,8.5,231174,55 min,"Comedies, Dramas","A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0018,TV Show,Paatal Lok 18,Sudip Sharma,"Main Cast, Supporting Cast",India,Hindi,2022-07-24,2020,8.1,161465,60 min,"Comedies, Dramas",A international movies story featuring memorable characters and unexpected events.
s0019,TV Show,Kota Factory 19,Saurabh Khanna,,India,Hindi,2023-09-18,2019,9.0,626034,65 min,Children & Family,"A sci-fi, fantasy story featuring memorable characters and unexpected events."
s0020,TV Show,The Family Man 20,"Raj Nidimoru, Krishna D.K.","Main Cast, Supporting Cast",India,Hind,2019-11-05,2019,8.7,716025,25 min,"Sci-Fi, Fantasy","A crime, drama story featuring memorable characters and unexpected events."
s0021,Movie,The Irishman 21,Martin Scorsese,"Main Cast, Supporting Cast",United States, ENGLISH,2024-03-19,2019,7.8,308957,209 min,International Movies,"A comedies, dramas story featuring memorable characters and unexpected events."
